#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
NTM00139	1	0	39.61	-79.11	6.2	60	120	0	0	0	0.5	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Brass	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00057	1	0	40.90	-73.27	6.2	40	120	0	0.5	0	1	0.1	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00297	1	12.55	35.80	-78.77	6.2	80	120	0	0.5	0	2	0.15	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00011	1	0.63	40.59	-98.39	6.8	180	75	0	0	0	2	0.15	Municipal Water System	Do Not Know	10-13 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Yearly	Showerhead
NTM00471	1	0	39.97	-105.26	6.2	40	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00330	1	13.18	41.89	-70.91	6.2	80	120	0	0	0.3	10	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00036	1	0.63	34.61	-86.73	6.2	40	120	0	1	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00044	1	0.03	42.98	-88.25	6.8	240	50	0	0	0	2	0.08	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00136	1	26.03	29.09	-82.27	6.8	180	50	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00277	1	0	42.34	-83.83	6.8	180	50	0	0	0	0	0	Well-Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00393	1	12.69	36.14	-86.80	6.2	120	250	0	0.5	0	15	0.075	Municipal Water System	More than 6 Months Ago	Do Not Know	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Steam Heated	Do Not Know	Do Not Know	Showerhead
NTM00166	1	56.4	38.21	-85.75	6.2	80	250	0	1.5	0	5	0.08	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00484	1	9.92	35.58	-78.79	6.2	180	120	0.5	1	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00022	1	0.39	42.36	-71.13	6.6	60	50	0	0.9	0	1	0.12	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00081	1	5.79	44.93	-68.65	6.8	240	120	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	Do Not Know	Never	Showerhead
NTM00289	1	70.63	42.12	-79.20	6.8	160	250	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00497	1	18.91	35.61	-77.36	6.2	60	120	0	3	0	0	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00229	1	10.73	42.07	-80.17	6.8	190	120	0	0	0	0.5	0.2	Municipal Water System	Do Not Know	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00236	1	37.66	36.06	-79.90	6.2	60	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00105	1	0.11	35.80	-78.63	6.2	60	120	0	0	0.7	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00346	1	7.55	26.62	-81.87	6.2	50	120	4	1	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00652	1	0.01	40.01	-105.24	6.2	30	50	0	0	0	0	0.075	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00362	1	51.65	43.74	-87.95	6.8	180	50	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00429	1	0.18	37.77	-122.44	6.5	110	120	0.25	0.5	0	0	0.12	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00062	1	65.8	41.13	-73.77	6.2	80	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00189	1	7.53	41.76	-87.88	6.8	120	250	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Fine Misting of Water (Low Flow)	Hot Water Heater	>10 Years	Yearly	Showerhead
NTM00034	1	0.01	39.99	-105.26	6.2	60	120	0	0.24	0	0.1	0.1	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00173	1	20.05	40.79	-96.74	6.8	180	50	0	0	0	2	0.1	Municipal Water System	More than 6 Months Ago	Once a Month	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00076	1	0.02	38.62	-89.68	6.2	120	25	1	2	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once Every 6 Months	Undiluted Bleach	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00404	1	0.23	31.51	-87.88	6.2	180	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00146	1	8.1	43.01	-89.74	6.8	160	120	0	0.5	0	5	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00030	1	23.6	42.59	-70.88	6.2	80	120	0.5	0.5	0	0	0.1	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00253	1	0.2	35.79	-78.69	6.2	90	120	0	3	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00149	1	1.82	33.76	-84.37	6.2	80	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00061	1	15.54	43.05	-78.91	6.4	120	250	0	0.5	0	0	0.12	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00035	1	23.55	40.32	-79.96	6.2	180	120	0	0.5	1	0	1.5	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00122	1	21.59	34.16	-118.36	7.8	220	425	0	0.5	1	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00494	1	0	41.62	-72.51	6.5	120	120	0	0	0	3	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00067	1	0.02	36.37	-80.32	6.2	120	250	0	0	0	1	0.075	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Copper	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00300	1	45.01	35.91	-79.07	5.5	55	120	0	5.5	0	1	0.15	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00131	1	0	42.18	-83.51	<6.2	130	250	0	0	0.1	1	0.1	Unknown/Other	Do Not Know	5-9 times/week	Once a Year	Bleach and Water	Metal	Nickel	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00163	1	30.3	44.94	-93.33	8.4	180	250	0	0.2	0	1	0.1	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00353	1	21.56	35.88	-78.65	6.2	80	120	0	0.5	0.3	10	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00415	1	0.04	18.33	-64.95	6.2	40	120	0	0	0	0	0.15	Unknown/Other	Do Not Know	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00053	1	0.03	36.05	-78.94	6.2	80	250	0	0	0	0	0.03	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Full Flood Like A Sink Faucet	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00097	1	18.58	42.88	-72.30	6.2	90	250	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00397	1	5.41	38.33	-85.87	6.2	120	250	0	0	0	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Bleach and Water	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00063	1	0.12	40.64	-73.58	6.8	80	250	0	0.5	0	1	0.6	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00410	1	23.47	40.76	-73.92	6.2	40	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00292	1	17.6	35.77	-78.79	6.2	40	50	0	1.5	0.15	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00080	1	8.44	30.13	-95.37	6.5	200	120	0	0.5	0	1	0.1	Unknown/Other	More than 6 Months Ago	5-9 times/week	Once a Month	Vinegar	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00334	1	65.97	40.06	-85.66	7.2	180	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00434	1	0.77	43.70	-70.24	6.2	80	50	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Nickel	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00462	1	8.27	39.39	-104.82	6.2	160	120	0	1.5	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00167	1	7.56	43.08	-89.39	6.4	140	250	0	0.25	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00238	1	5.84	41.34	-75.76	6.2	40	120	0	0.5	1	0	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Yearly	Showerhead
NTM00311	1	0.26	41.67	-72.89	6.2	180	50	0	0.25	0	1	0.15	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Do Not Know	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00142	1	0.02	38.55	-92.23	7.2	240	250	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00322	1	4.13	40.97	-73.71	6.2	40	120	0	0	0.15	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00395	1	48.62	35.83	-78.84	6.2	120	120	0	2	0	0	0.07	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00047	1	0.71	38.97	-92.37	6.2	240	250	0	2	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00210	1	0	30.26	-81.46	6.2	170	250	0	0	0	0	0.1	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00230	1	21.72	37.55	-77.47	6.2	160	120	0	3	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00396	1	2.01	40.46	-79.92	6.2	80	120	0	0	0	1	0.15	Municipal Water System	Within the Last 6 Months	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00096	1	15.19	40.80	-73.95	6.5	60	90	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00413	1	13.96	35.79	-78.77	6.2	80	50	0	0.5	0	5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00387	1	0.5	35.65	-78.82	< 6.2	30	200	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Solid Brass	Brass	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	6-10 Years	Do Not Know	Showerhead
EXT_BLNK_2	1	0.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM00202	1	6.37	35.90	-78.67	6.8	160	120	0.25	4	0	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00158	1	1.32	39.41	-77.47	6.2	180	120	0	0.25	0.3	5	0.05	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00083	1	4.38	42.31	-72.63	6.2	40	250	0	0	0.15	10	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00121	1	90.57	37.68	-97.25	6.2	180	120	0	0.5	0	1	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Commercial Cleaning Solution	Combination of Plastic/Metal	Nickel	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00168	1	0.15	37.13	-93.27	6.8	180	250	0	0.5	0	0	0.075	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00066	1	0	35.63	-78.76	6.8	80	120	0	0.5	0	2	0.6	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00144	1	0	39.71	-84.17	7	240	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
